14:51  up 3 days, 32 mins, 2 users, load averages: 1.45 1.44 1.70
14:51  up 3 days, 32 mins, 2 users, load averages: 1.38 1.42 1.69
14:51  up 3 days, 32 mins, 2 users, load averages: 1.39 1.43 1.69
14:51  up 3 days, 33 mins, 2 users, load averages: 1.48 1.45 1.69
14:51  up 3 days, 33 mins, 2 users, load averages: 1.41 1.43 1.69
14:51  up 3 days, 33 mins, 2 users, load averages: 1.50 1.45 1.69
14:52  up 3 days, 33 mins, 2 users, load averages: 1.50 1.45 1.69
14:52  up 3 days, 33 mins, 2 users, load averages: 1.50 1.45 1.68
14:52  up 3 days, 33 mins, 2 users, load averages: 1.50 1.45 1.68
14:52  up 3 days, 34 mins, 2 users, load averages: 1.57 1.47 1.68
14:52  up 3 days, 34 mins, 2 users, load averages: 1.78 1.52 1.70
14:52  up 3 days, 34 mins, 2 users, load averages: 1.66 1.50 1.69
14:53  up 3 days, 34 mins, 2 users, load averages: 1.63 1.50 1.69
14:53  up 3 days, 34 mins, 2 users, load averages: 1.66 1.51 1.69
14:53  up 3 days, 34 mins, 2 users, load averages: 1.85 1.56 1.70
14:53  up 3 days, 35 mins, 2 users, load averages: 1.72 1.54 1.69
14:53  up 3 days, 35 mins, 2 users, load averages: 1.76 1.55 1.70
14:53  up 3 days, 35 mins, 2 users, load averages: 1.87 1.58 1.70
14:54  up 3 days, 35 mins, 2 users, load averages: 1.97 1.61 1.71
14:54  up 3 days, 35 mins, 2 users, load averages: 1.98 1.62 1.72
